year_month,month_start,revenue,orders,revenue_mom_pct,orders_mom_pct
2024-03,2024-03-01,5905.2,175,,
2024-04,2024-04-01,5719.56,168,-3.1436699857752437,-4.0000000000000036
2024-05,2024-05-01,8164.42,241,42.7455958150627,43.452380952380956
2024-06,2024-06-01,7617.76,223,-6.695637902018758,-7.468879668049788
2024-07,2024-07-01,6915.9400000000005,237,-9.212944487618401,6.278026905829592
2024-08,2024-08-01,7613.84,272,10.09118066379986,14.767932489451475
2024-09,2024-09-01,9988.64,344,31.190568753743175,26.470588235294112
2024-10,2024-10-01,13891.16,426,39.069583046340654,23.83720930232558
2024-11,2024-11-01,8590.539999999999,259,-38.1582243671515,-39.201877934272304
2024-12,2024-12-01,8237.74,259,-4.106843108815039,0.0
2025-01,2025-01-01,6398.86,201,-22.322627322542353,-22.393822393822393
2025-02,2025-02-01,13215.48,423,106.52866291808229,110.44776119402985
2025-03,2025-03-01,9986.44,319,-24.433770093859618,-24.586288416075654
