month,revenue_2019,revenue_2020,revenue_yoy_pct,orders_2019,orders_2020,orders_yoy_pct
1,82604.0,1016120.0,1130.1099220376739,2.0,7.0,250.0
2,6671650.0,1999795.0,-70.02548095298764,21.0,12.0,-42.857142857142854
3,773103.0,1471593.0,90.3488927089922,8.0,27.0,237.5
4,462732.0,2768650.0,498.32689332053974,2.0,41.0,1950.0
5,327957.0,646879.0,97.2450656640962,9.0,11.0,22.22222222222222
6,62871.0,4143440.0,6490.383483641106,3.0,35.0,1066.6666666666665
7,54915.0,1894310.0,3349.5310935081493,1.0,37.0,3600.0
8,64893.0,1223846.0,1785.944554882653,1.0,23.0,2200.0
9,53279.0,305249.0,472.92554289682613,2.0,7.0,250.0
10,349346.0,1130749.0,223.67595449783312,7.0,14.0,100.0
11,,52318.0,,,1.0,
12,607095.0,193328.0,-68.1552310593894,12.0,6.0,-50.0
